DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
PK201700000089,PK,2017.00000000000,89.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,R,33.48296680860,73.47766643300,9999.00000000000,9999.00000000000,WGS84
PK201700000090,PK,2017.00000000000,90.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,R,33.88613850110,73.42866116550,9999.00000000000,9999.00000000000,WGS84
PK201700000091,PK,2017.00000000000,91.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,U,33.65339537580,73.41057974700,9999.00000000000,9999.00000000000,WGS84
PK201700000092,PK,2017.00000000000,92.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GAZ,U,33.73557458550,72.79081120760,9999.00000000000,9999.00000000000,WGS84
PK201700000093,PK,2017.00000000000,93.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,U,33.48040650110,73.41987259700,9999.00000000000,9999.00000000000,WGS84
PK201700000094,PK,2017.00000000000,94.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,U,33.90461987180,73.38899830980,9999.00000000000,9999.00000000000,WGS84
PK201700000095,PK,2017.00000000000,95.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,R,32.94953566290,73.58623066610,9999.00000000000,9999.00000000000,WGS84
PK201700000096,PK,2017.00000000000,96.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,U,32.63705014420,73.14549322410,9999.00000000000,9999.00000000000,WGS84
PK201700000097,PK,2017.00000000000,97.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GAZ,R,32.99514809880,72.84317740340,9999.00000000000,9999.00000000000,WGS84
PK201700000098,PK,2017.00000000000,98.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,R,32.75574178610,71.97932903910,9999.00000000000,9999.00000000000,WGS84
